"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Fri Nov  1 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
RAG200,1,2019-10-31 18:42:48-04,YAU,CYUL,CYUY,2019-10-31 18:49:40-04,,2019-10-31 19:04:04-04
(64 rows)

orldc-prod-fused04:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
WSW314,1,2019-10-31 00:13:07-04,CYHM,CYXU,CYWG,2019-10-31 00:29:22-04,,2019-10-31 00:41:46-04
CJT621,2,2019-10-31 00:32:41-04,CYHM,CYXU,CYMX,2019-10-31 00:44:04-04,2019-10-31 16:50:23-04,2019-10-31 16:51:00-04
WJA584,1,2019-10-31 15:52:00-04,CYHM,CYYZ,CYYC,2019-10-31 15:57:39-04,,2019-10-31 16:10:09-04
CJT574,2,2019-10-31 18:03:29-04,CYHM,CYXU,CYWG,2019-10-31 18:24:12-04,2019-10-31 20:13:07-04,2019-10-31 20:13:36-04
JZA524,2,2019-10-31 12:59:13-04,CYOW,CYUL,CYWG,2019-10-31 13:17:15-04,2019-10-31 14:55:42-04,2019-10-31 14:55:45-04
WJA374,1,2019-11-01 00:13:46-04,CYOW,CYYZ,CYYZ,2019-11-01 00:54:36-04,,2019-11-01 01:07:24-04
JZA747,0,2019-10-31 12:29:07-04,CYOW,CYUL,CYQB,,,2019-10-31 13:00:15-04
ROU1798,1,2019-11-01 01:01:49-04,CYQB,CYYZ,CYYZ,2019-11-01 02:18:31-04,,2019-11-01 02:31:01-04
JZA786,1,2019-10-31 15:54:16-04,CYSJ,CYUL,CYUL,2019-10-31 17:20:30-04,,2019-10-31 17:33:12-04
JZA788,0,2019-10-31 09:41:14-04,CYSJ,CYUL,CYUL,,,2019-10-31 09:58:48-04
PSC701,2,2019-10-31 16:06:45-04,CYUL,CYHU,CYPN,2019-10-31 16:15:10-04,2019-10-31 18:07:52-04,2019-10-31 18:08:14-04
ACA869,2,2019-10-31 05:38:27-04,CYYZ,EGLL,EGLL,2019-10-31 05:26:05-04,2019-10-31 05:51:07-04,2019-10-31 05:51:22-04
ACA499,2,2019-10-31 18:50:04-04,CYYZ,CYOW,CYOW,2019-10-31 19:26:21-04,2019-10-31 20:54:04-04,2019-10-31 20:54:08-04
JZA654,2,2019-10-31 19:33:45-04,CYYZ,CYXU,CYXU,2019-10-31 19:38:43-04,2019-10-31 21:22:11-04,2019-10-31 21:23:02-04
ACA16,2,2019-10-31 19:32:52-04,CYYZ,KIAG,VHHH,2019-10-31 19:39:43-04,2019-10-31 21:41:12-04,2019-10-31 21:41:14-04
ASH6196,1,2019-10-31 19:16:12-04,CYYZ,KSYR,KIAD,2019-10-31 19:43:02-04,,2019-10-31 20:02:25-04
SWG731,2,2019-10-31 19:22:59-04,CYYZ,CYHM,MKJS,2019-10-31 19:47:03-04,2019-10-31 22:32:15-04,2019-10-31 22:33:03-04
SKV7711,2,2019-10-31 19:17:14-04,CYYZ,KBUF,KIAD,2019-10-31 19:48:12-04,2019-10-31 21:35:57-04,2019-10-31 21:36:01-04
JZA943,2,2019-10-31 18:59:36-04,CYYZ,CYAM,KMSY,2019-10-31 20:03:35-04,2019-10-31 21:02:32-04,2019-10-31 21:03:08-04
ACA114,2,2019-10-31 18:54:39-04,CYYZ,KCLE,CYVR,2019-10-31 20:04:13-04,2019-10-31 22:05:30-04,2019-10-31 22:05:31-04
ACA146,2,2019-10-31 18:59:14-04,CYYZ,KCLE,CYYC,2019-10-31 20:08:01-04,2019-10-31 22:15:22-04,2019-10-31 22:15:23-04
ACA28,2,2019-10-31 19:37:15-04,CYYZ,CYUL,ZSPD,2019-10-31 20:12:57-04,2019-10-31 22:02:05-04,2019-10-31 22:02:07-04
WJA2653,1,2019-10-31 19:38:18-04,CYYZ,CYQG,TNCM,2019-10-31 20:14:46-04,,2019-10-31 20:28:22-04
SWG765,2,2019-10-31 20:03:11-04,CYYZ,CYHM,TNCM,2019-10-31 20:14:57-04,2019-10-31 22:19:04-04,2019-10-31 22:19:52-04
WJA2627,2,2019-10-31 20:19:25-04,CYYZ,CYHM,TLPL,2019-10-31 20:24:23-04,2019-10-31 22:45:54-04,2019-10-31 22:46:33-04
JZA874,2,2019-10-31 20:38:14-04,CYYZ,CYAM,CYQG,2019-10-31 20:25:29-04,2019-10-31 23:15:16-04,2019-10-31 23:16:09-04
TSC123,0,2019-10-31 14:09:27-04,CYYZ,CYQB,EGKK,,,2019-10-31 15:36:35-04
DLH453,1,2019-10-31 02:52:52-04,EDDM,CYUL,KLAX,2019-10-31 02:40:48-04,,2019-10-31 02:52:52-04
FDY336,1,2019-10-31 18:57:27-04,KBFD,KPIT,KPIT,2019-10-31 19:54:49-04,,2019-10-31 20:07:20-04
SWA1339,2,2019-10-31 20:10:51-04,KBWI,KPIT,KPHX,2019-10-31 20:15:35-04,2019-11-01 00:29:10-04,2019-11-01 00:29:33-04
NKS106,2,2019-10-31 19:49:06-04,KBWI,KPIT,KMSP,2019-10-31 20:17:48-04,2019-11-01 00:22:59-04,2019-11-01 00:23:22-04
SWA530,2,2019-10-31 20:18:36-04,KBWI,KPIT,KSTL,2019-10-31 20:21:10-04,2019-11-01 00:40:57-04,2019-11-01 00:41:20-04
SWA1351,2,2019-10-31 20:26:44-04,KBWI,KPIT,KSMF,2019-10-31 20:30:30-04,2019-11-01 00:51:15-04,2019-11-01 00:51:42-04
SWA1571,2,2019-10-31 20:18:24-04,KBWI,KCLE,KMKE,2019-10-31 20:55:25-04,2019-10-31 23:49:01-04,2019-10-31 23:49:02-04
SWA290,1,2019-10-31 21:19:46-04,KBWI,KCLE,KMSP,2019-10-31 22:07:55-04,,2019-10-31 22:31:19-04
DAL1975,2,2019-10-31 21:50:58-04,KBWI,KPIT,KMSP,2019-10-31 22:10:03-04,2019-11-01 00:09:45-04,2019-11-01 00:10:00-04
NKS136,2,2019-10-31 22:19:03-04,KBWI,KPIT,KLAX,2019-10-31 23:39:18-04,2019-11-01 01:01:27-04,2019-11-01 01:01:49-04
SWA458,1,2019-10-31 23:10:54-04,KBWI,KDTW,KSAN,2019-10-31 23:44:43-04,,2019-11-01 00:04:25-04
GTI3506,1,2019-10-31 22:21:08-04,KBWI,KPIT,KIAH,2019-10-31 23:47:25-04,,2019-11-01 00:00:00-04
SKW5066,1,2019-10-31 19:53:49-04,KCKB,KPIT,KORD,2019-10-31 20:10:28-04,,2019-10-31 20:22:53-04
UCA4997,2,2019-10-31 19:50:55-04,KDCA,KCLE,KCLE,2019-10-31 19:56:43-04,2019-10-31 23:13:46-04,2019-10-31 23:13:48-04
DAL431,2,2019-10-31 19:34:48-04,KDCA,KPIT,KDTW,2019-10-31 20:28:03-04,2019-11-01 01:33:35-04,2019-11-01 01:33:56-04
UAL1031,2,2019-10-31 20:38:18-04,KDCA,KPIT,KIAH,2019-10-31 20:42:23-04,2019-10-31 22:26:19-04,2019-10-31 22:26:43-04
AAL804,2,2019-10-31 20:18:10-04,KDCA,KPIT,KDFW,2019-10-31 20:48:03-04,2019-10-31 22:50:03-04,2019-10-31 22:50:33-04
ASA6,2,2019-10-31 21:10:34-04,KDCA,KPIT,KLAX,2019-10-31 21:15:06-04,2019-10-31 23:25:12-04,2019-10-31 23:25:37-04
AAL2557,2,2019-10-31 21:14:06-04,KDCA,KPIT,KLAS,2019-10-31 21:18:44-04,2019-10-31 23:14:17-04,2019-10-31 23:14:52-04
AAL2752,2,2019-10-31 23:51:59-04,KDCA,KPIT,KDFW,2019-11-01 00:00:15-04,2019-11-01 01:27:13-04,2019-11-01 01:27:38-04
DAL1776,2,2019-10-31 23:53:54-04,KDCA,KPIT,KMSP,2019-11-01 00:12:16-04,2019-11-01 01:17:55-04,2019-11-01 01:18:23-04
ASA2,0,2019-10-31 22:25:45-04,KDCA,KPIT,KSEA,,,2019-10-31 23:51:58-04
RPA3501,1,2019-10-31 21:15:51-04,KEWR,KPIT,KDTW,2019-10-31 21:48:12-04,,2019-10-31 22:00:43-04
UCA4940,1,2019-10-31 21:31:24-04,KEWR,KCLE,KMEM,2019-10-31 21:53:00-04,,2019-10-31 23:15:44-04
UAL1927,2,2019-10-31 22:13:34-04,KEWR,KPIT,KSNA,2019-10-31 22:00:58-04,2019-10-31 23:50:09-04,2019-10-31 23:50:31-04
