"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Wed Oct 30 04:16:01 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
KII725,2,2019-10-29 08:27:15-04,KONT,KOKC,KSDF,2019-10-29 10:16:49-04,2019-10-29 11:11:39-04,2019-10-29 11:11:56-04
EJA237,1,2019-10-29 22:42:47-04,KSFO,KAUS,KMDW,2019-10-29 22:48:59-04,,2019-10-29 23:05:24-04
JUS192,1,2019-10-29 17:22:44-04,KSHV,KYIP,KGRR,2019-10-29 17:55:06-04,,2019-10-29 18:08:56-04
JUS195,1,2019-10-29 23:24:39-04,KSHV,KYIP,KYIP,2019-10-30 00:30:40-04,,2019-10-30 00:44:18-04
ASH6280,1,2019-10-29 18:52:05-04,KSLC,KIAH,KSLC,2019-10-29 21:27:03-04,,2019-10-29 21:48:45-04
MRA655,1,2019-10-29 10:17:03-04,KTYR,KGGG,KDFW,2019-10-29 10:53:50-04,,2019-10-29 11:07:29-04
ENY523G,1,2019-10-30 01:32:32-04,KTYR,KDFW,KDFW,2019-10-30 01:55:56-04,,2019-10-30 02:20:39-04
UAL1547,1,2019-10-28 21:50:58-04,MMMX,KIAH,KIAH,2019-10-28 23:56:55-04,,2019-10-29 00:18:02-04
(71 rows)

orldc-prod-fused06:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
OUA8,1,2019-10-29 11:39:28-04,CYMO,KOKC,KOUN,2019-10-29 11:27:18-04,,2019-10-29 11:39:28-04
JKA54,1,2019-10-29 18:57:11-04,KASL,KGGG,KGGG,2019-10-29 18:44:48-04,,2019-10-29 18:57:11-04
JBU795,1,2019-10-29 08:56:03-04,KAUS,KJFK,KJFK,2019-10-29 09:58:38-04,,2019-10-29 10:15:11-04
PRY4,1,2019-10-29 11:08:38-04,KDFW,KFTW,KPDX,2019-10-29 14:55:10-04,,2019-10-29 15:07:51-04
AAL1449,2,2019-10-29 18:04:17-04,KDFW,KOKC,KGRR,2019-10-29 18:27:45-04,2019-10-29 20:15:02-04,2019-10-29 20:15:13-04
AAL2859,1,2019-10-29 17:56:05-04,KDFW,KAUS,KPBI,2019-10-29 19:05:45-04,,2019-10-29 19:21:40-04
ENY9804,1,2019-10-29 19:39:57-04,KDFW,KLIT,KCVG,2019-10-29 19:45:41-04,,2019-10-29 19:59:24-04
AAL2627,1,2019-10-29 19:13:16-04,KDFW,KAUS,KRDU,2019-10-29 19:49:36-04,,2019-10-29 20:27:23-04
FDX712,1,2019-10-29 20:44:44-04,KDFW,KAUS,KMEM,2019-10-29 20:49:47-04,,2019-10-30 00:32:18-04
ENY3516,2,2019-10-29 20:47:02-04,KDFW,KABI,KSGF,2019-10-29 20:53:22-04,2019-10-29 21:52:27-04,2019-10-29 21:52:44-04
AAL1522,1,2019-10-29 22:11:36-04,KDFW,KIAH,KBDL,2019-10-29 22:55:30-04,,2019-10-29 23:20:58-04
EJA686,1,2019-10-29 12:49:46-04,KGKY,KDAL,KIAH,2019-10-29 13:25:54-04,,2019-10-29 13:39:34-04
BTQ496,1,2019-10-30 01:48:33-04,KGLH,KDFW,KDFW,2019-10-30 01:59:20-04,,2019-10-30 02:17:51-04
SCM82,2,2019-10-29 16:16:12-04,KGLS,KEFD,KDAL,2019-10-29 17:16:11-04,2019-10-29 17:39:02-04,2019-10-29 17:39:31-04
ASQ4109,1,2019-10-30 02:31:27-04,KGPT,KIAH,KIAH,2019-10-30 02:38:31-04,,2019-10-30 02:56:03-04
UPS712,2,2019-10-29 07:17:29-04,KHSV,KSHV,KSDF,2019-10-29 07:32:43-04,2019-10-29 09:01:46-04,2019-10-29 09:02:15-04
ASQ4132,2,2019-10-29 13:50:08-04,KIAH,KLCH,KMCI,2019-10-29 14:07:43-04,2019-10-29 16:07:34-04,2019-10-29 16:07:55-04
UAL540,1,2019-10-29 14:31:22-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:36:55-04
UAL540,1,2019-10-29 14:31:22-04,KIAH,KSAT,KSAT,2019-10-29 14:19:17-04,,2019-10-29 14:31:22-04
UAL443,1,2019-10-29 13:48:08-04,KIAH,KSAT,KSEA,2019-10-29 14:19:59-04,,2019-10-29 14:39:15-04
ASQ4077,2,2019-10-29 14:19:25-04,KIAH,KSAT,KMAF,2019-10-29 14:25:03-04,2019-10-29 16:04:15-04,2019-10-29 16:04:17-04
UAL2057,2,2019-10-29 14:19:17-04,KIAH,KSAT,CYVR,2019-10-29 14:27:05-04,2019-10-29 15:54:59-04,2019-10-29 15:55:17-04
ASQ4217,2,2019-10-29 14:08:58-04,KIAH,KCRP,KBRO,2019-10-29 14:31:43-04,2019-10-29 16:04:11-04,2019-10-29 16:04:20-04
CPZ6060,1,2019-10-29 14:08:23-04,KIAH,KDFW,KLAX,2019-10-29 14:32:39-04,,2019-10-29 14:52:32-04
ASQ4392,1,2019-10-29 14:10:19-04,KIAH,KLCH,KLRD,2019-10-29 14:34:20-04,,2019-10-29 14:47:27-04
ASH6094,2,2019-10-29 14:24:12-04,KIAH,KSHV,KOKC,2019-10-29 14:39:02-04,2019-10-29 16:24:19-04,2019-10-29 16:24:51-04
ASQ3998,1,2019-10-29 14:37:36-04,KIAH,KLCH,KGPT,2019-10-29 14:40:19-04,,2019-10-29 14:52:42-04
